card,segment,abc_revenue
2000200188261,Потерянные,C
2000200195399,Потерянные,C
2000200227694,Потерянные,C
2000200223023,Потерянные,C
2000200249160,Потерянные,C
2000200173519,Потерянные,C
2000200232889,Потерянные,C
2000200167334,Потерянные,C
2000200170563,Потерянные,C
2000200204749,Потерянные,C
2000200222064,Потерянные,C
2000200157953,Потерянные,C
2000200171867,Потерянные,C
2000200215738,Потерянные,C
2000200158189,Потерянные,C
2000200219057,Потерянные,C
2000200181774,Потерянные,C
2000200192626,Потерянные,C
2000200156550,Потерянные,C
2000200202745,Потерянные,C
2000200207924,Потерянные,C
2000200183730,Потерянные,C
2000200218692,Потерянные,C
2000200151357,Потерянные,C
2000200204053,Потерянные,C
2000200174042,Потерянные,C
2000200218838,Потерянные,C
2000200164555,Потерянные,C
2000200181576,Потерянные,C
2000200194200,Потерянные,C
2000200208907,Потерянные,C
2000200187639,Потерянные,C
2000200209775,Потерянные,C
2000200214748,Потерянные,C
2000200221203,Потерянные,C
2000200179535,Потерянные,C
2000200153146,Потерянные,C
2000200216476,Потерянные,C
2000200218012,Потерянные,C
2000200227755,Потерянные,C
2000200189039,Потерянные,C
2000200194644,Потерянные,C
2000200227212,Потерянные,C
2000200179696,Потерянные,C
2000200227380,Потерянные,C
2000200206668,Потерянные,C
2000200192565,Потерянные,C
2000200225089,Потерянные,C
2000200229988,Потерянные,C
2000200165194,Потерянные,C
2000200156031,Потерянные,C
2000200157410,Потерянные,C
2000200168973,Потерянные,C
2000200186168,Потерянные,C
2000200174851,Потерянные,C
2000200207917,Потерянные,C
2000200221296,Потерянные,C
2000200248224,Потерянные,C
2000200173564,Потерянные,C
2000200186571,Потерянные,C
2000200187578,Потерянные,C
2000200248170,Потерянные,C
2000200159797,Потерянные,C
2000200192930,Потерянные,C
2000200160625,Потерянные,C
2000200208075,Потерянные,C
2000200225867,Потерянные,C
2000200248088,Потерянные,C
2000200188544,Потерянные,C
2000200248576,Потерянные,C
2000200222071,Потерянные,C
2000200155195,Потерянные,C
2000200178644,Потерянные,C
2000200209898,Потерянные,C
2000200225423,Потерянные,C
2000200176190,Потерянные,C
2000200203230,Потерянные,C
2000200183297,Потерянные,C
2000200196716,Потерянные,C
2000200210580,Потерянные,C
2000200215653,Потерянные,C
2000200231813,Потерянные,C
2000200188063,Потерянные,C
2000200209744,Потерянные,C
2000200233183,Потерянные,C
2000200218173,Потерянные,C
2000200230663,Потерянные,C
2000200211006,Потерянные,C
2000200225324,Потерянные,C
