card,segment,abc_revenue
2000200221593,Лояльные,A
2000200173113,Лояльные,A
2000200203537,Лояльные,A
2000200239543,Лояльные,A
2000200248187,Лояльные,A
2000200187400,Лояльные,A
2000200234944,Лояльные,A
2000200209966,Лояльные,A
2000200166122,Лояльные,A
2000200201328,Лояльные,A
2000200172642,Лояльные,A
2000200207078,Лояльные,A
2000200228226,Лояльные,A
2000200184621,Лояльные,A
2000200207474,Лояльные,A
2000200202196,Лояльные,A
2000200194736,Лояльные,A
2000200228424,Лояльные,A
2000200247814,Лояльные,A
2000200223078,Лояльные,A
2000200235347,Лояльные,A
2000200223832,Лояльные,A
2000200226413,Лояльные,A
2000200150602,Лояльные,A
2000200222811,Лояльные,A
2000200231592,Лояльные,A
2000200239260,Лояльные,A
2000200150237,Лояльные,A
2000200170846,Лояльные,A
2000200215080,Лояльные,A
2000200174974,Лояльные,A
2000200203575,Лояльные,A
2000200150930,Лояльные,A
2000200197430,Лояльные,A
2000200170303,Лояльные,A
2000200214212,Лояльные,A
2000200235903,Лояльные,A
2000200162391,Лояльные,A
2000200227571,Лояльные,A
2000200172598,Лояльные,A
2000200244462,Лояльные,A
2000200195986,Лояльные,A
2000200194743,Лояльные,A
2000200237181,Лояльные,A
2000200207207,Лояльные,A
2000200192244,Лояльные,A
2000200244509,Лояльные,A
2000200220367,Лояльные,A
2000200231752,Лояльные,A
2000200231233,Лояльные,A
2000200191308,Лояльные,A
2000200195016,Лояльные,A
2000200218524,Лояльные,A
2000200188131,Лояльные,A
2000200197393,Лояльные,A
2000200207344,Лояльные,A
2000200237778,Лояльные,A
2000200219514,Лояльные,A
2000200229728,Лояльные,A
2000200244837,Лояльные,A
2000200252207,Лояльные,A
2000200193036,Лояльные,A
2000200206989,Лояльные,A
2000200151692,Лояльные,A
2000200191445,Лояльные,A
2000200212775,Лояльные,A
2000200150954,Лояльные,A
2000200211242,Лояльные,A
2000200235880,Лояльные,A
2000200221302,Лояльные,A
2000200198925,Лояльные,A
2000200197539,Лояльные,A
2000200211372,Лояльные,A
2000200173410,Лояльные,A
2000200246084,Лояльные,A
2000200181231,Лояльные,A
2000200230168,Лояльные,A
2000200190134,Лояльные,A
2000200249320,Лояльные,A
2000200223221,Лояльные,A
2000200227304,Лояльные,A
2000200219279,Лояльные,A
2000200175100,Лояльные,A
2000200224815,Лояльные,A
2000200207955,Лояльные,A
2000200242482,Лояльные,A
2000200188780,Лояльные,A
2000200205746,Лояльные,A
2000200238805,Лояльные,A
2000200235521,Лояльные,A
2000200207757,Лояльные,A
2000200157892,Лояльные,A
2000200209904,Лояльные,A
2000200225584,Лояльные,A
2000200212683,Лояльные,A
2000200237815,Лояльные,A
2000200167570,Лояльные,A
2000200181385,Лояльные,A
2000200208440,Лояльные,A
2000200212201,Лояльные,A
2000200224501,Лояльные,A
2000200232766,Лояльные,A
2000200248453,Лояльные,A
2000200202110,Лояльные,A
2000200205135,Лояльные,A
2000200208082,Лояльные,A
2000200236443,Лояльные,A
2000200197157,Лояльные,A
2000200258841,Лояльные,A
2000200239611,Лояльные,A
2000200213314,Лояльные,A
2000200159292,Лояльные,A
2000200223405,Лояльные,A
2000200205968,Лояльные,A
2000200211631,Лояльные,A
2000200242093,Лояльные,A
2000200217961,Лояльные,A
2000200173908,Лояльные,A
2000200189626,Лояльные,A
2000200237693,Лояльные,A
2000200183723,Лояльные,A
2000200243342,Лояльные,A
2000200230991,Лояльные,A
2000200163572,Лояльные,A
2000200235712,Лояльные,A
2000200231349,Лояльные,A
2000200228035,Лояльные,A
2000200212737,Лояльные,A
2000200232728,Лояльные,A
2000200254126,Лояльные,A
2000200243007,Лояльные,A
2000200150794,Лояльные,A
2000200204008,Лояльные,A
2000200184461,Лояльные,A
2000200210252,Лояльные,A
2000200235002,Лояльные,A
2000200247371,Лояльные,A
2000200237501,Лояльные,A
2000200221562,Лояльные,A
2000200210498,Лояльные,A
2000200229797,Лояльные,A
2000200174264,Лояльные,A
2000200194125,Лояльные,A
2000200230922,Лояльные,A
2000200233299,Лояльные,A
2000200242567,Лояльные,A
2000200198840,Лояльные,A
2000200226437,Лояльные,A
2000200227939,Лояльные,A
2000200170365,Лояльные,A
2000200220176,Лояльные,A
2000200236047,Лояльные,A
2000200166016,Лояльные,A
2000200222088,Лояльные,A
2000200218500,Лояльные,A
2000200184867,Лояльные,A
2000200211358,Лояльные,A
2000200176664,Лояльные,A
2000200180128,Лояльные,A
2000200247883,Лояльные,A
